artist,popularity,followers,genres
Taylor Swift,100,127838324,pop
The Weeknd,96,95971547,"canadian contemporary r&b, canadian pop, pop"
Bad Bunny,96,87698874,"reggaeton, trap latino, urbano latino"
Drake,96,94133053,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Ed Sheeran,90,117757199,"pop, singer-songwriter pop, uk pop"
Billie Eilish,96,103636544,"art pop, pop"
Harry Styles,85,33224687,pop
Ariana Grande,95,101781212,pop
Rihanna,92,64178109,"barbadian pop, pop, urban contemporary"
Beyoncé,87,39171117,"pop, r&b"
Post Malone,91,46002055,"dfw rap, melodic rap, pop, rap"
Justin Bieber,92,79320329,"canadian pop, pop"
Dua Lipa,88,45164486,"dance pop, pop, uk pop"
Kanye West,93,28347141,"chicago rap, hip hop, rap"
Olivia Rodrigo,88,41986790,pop
Bruno Mars,96,63737509,"dance pop, pop"
SZA,92,24983147,"pop, r&b, rap"
Eminem,93,94370716,"detroit hip hop, hip hop, rap"
Doja Cat,87,32108682,"dance pop, pop"
Katy Perry,86,35249477,pop
Lana Del Rey,92,42524628,"art pop, pop"
Miley Cyrus,84,25191516,pop
Shakira,88,35739060,"colombian pop, dance pop, latin pop, pop"
ROSALÍA,80,8397869,"pop, r&b en espanol"
Lil Nas X,76,12406241,lgbtq+ hip hop
Travis Scott,94,35213935,"rap, slap house"
Lady Gaga,92,33270038,"art pop, dance pop, pop"
KAROL G,91,52741964,"reggaeton, reggaeton colombiano, urbano latino"
J Balvin,88,37516883,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Coldplay,91,55235863,"permanent wave, pop"
Jung Kook,87,16630239,k-pop
BTS,87,77108746,"k-pop, k-pop boy group, pop"
Nicki Minaj,87,32918702,"hip pop, pop, queens hip hop, rap"
JAY-Z,85,9633241,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Badshah,78,27539332,"desi hip hop, desi trap, filmi, modern bollywood"
Camila Cabello,83,34209288,"dance pop, pop"
Ellie Goulding,81,12721397,"indietronica, metropopolis, pop, uk pop"
Sam Smith,84,24840759,"pop, uk pop"
Marshmello,85,33946078,"brostep, edm, pop, progressive electro house"
Alicia Keys,81,12270758,"neo soul, pop, r&b"
ZAYN,79,23498544,"pop, uk pop"
Chris Brown,89,24373077,"r&b, rap"
Keinemusik,77,363409,melodic house
Maluma,88,35292019,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Selena Gomez,83,51365874,"pop, post-teen pop"
Imagine Dragons,89,55560542,"modern rock, pop, rock"
Zach Bryan,90,5675448,classic oklahoma country
Kendrick Lamar,97,35133587,"conscious hip hop, hip hop, rap, west coast rap"
Feid,92,15144174,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Peso Pluma,93,17927184,"corridos tumbados, sad sierreno"
Eslabon Armado,79,5936701,"corrido, corridos tumbados, sad sierreno, sierreno"
Glass Animals,77,4351788,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Tones And I,70,2958058,australian pop
The Chainsmokers,83,20696473,pop
Adele,87,60800041,"british soul, pop, pop soul, uk pop"
Elton John,85,14134254,"glam rock, mellow gold, piano rock, rock"
Shawn Mendes,85,43885641,"canadian pop, pop, viral pop"
John Legend,79,7306805,"neo soul, pop, pop soul, urban contemporary"
Lorde,78,10106142,"art pop, metropopolis, nz pop, pop"
Avril Lavigne,78,11419177,"canadian pop, candy pop, dance pop, pop"
Bill Withers,75,1818044,"classic soul, funk, quiet storm, soul"
Meghan Trainor,81,15507268,"hip pop, pop"
Halsey,83,21786345,"electropop, etherpop, indie poptimism, pop"
Niall Horan,76,10036224,pop
OneRepublic,85,17719396,"piano rock, pop"
BLACKPINK,81,52087567,"k-pop, k-pop girl group, pop"
Charlie Puth,81,23681287,"pop, viral pop"
Jason Derulo,79,12303149,"dance pop, pop"
James Arthur,82,19205030,"pop, talent show, uk pop"
WILLOW,72,2771139,"afrofuturism, pop, post-teen pop, pov: indie"
A$AP Rocky,86,15493779,"east coast hip hop, hip hop, rap"
Bebe Rexha,81,9415042,"dance pop, pop"
Florence + The Machine,78,6935972,"baroque pop, modern rock, neo mellow, uk alternative pop"
P!nk,82,17393595,"dance pop, pop"
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Sara Bareilles,66,1958245,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Norah Jones,76,3234093,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz"
The Kid LAROI,85,5919648,australian hip hop
J. Cole,87,25202868,"conscious hip hop, hip hop, north carolina hip hop, rap"
XXXTENTACION,89,47979544,"emo rap, miami hip hop, rap"
Future,93,19576077,"atl hip hop, hip hop, rap, southern hip hop, trap"
Cardi B,80,24770146,"pop, rap"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Demi Lovato,79,26867135,"pop, post-teen pop"
mgk,79,5426936,"ohio hip hop, pop rap"
Tove Lo,75,3642379,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
Logic,75,6103788,"conscious hip hop, hip hop, pop rap, rap"
Trippie Redd,83,10066109,"melodic rap, rap, trap"
Ciara,72,6854059,"dance pop, hip pop, pop, r&b, urban contemporary"
Hozier,86,8162581,"irish singer-songwriter, modern rock, pop, pov: indie"
Maggie Rogers,71,1183776,indie pop
Jorja Smith,74,3507531,"r&b, uk contemporary r&b"
Kygo,82,8509981,"edm, pop, pop dance, tropical house"
Calvin Harris,86,22970612,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
David Guetta,90,26539395,"big room, dance pop, edm, pop, pop dance"
Maroon 5,87,43455229,pop
Pitbull,86,11047558,"dance pop, miami hip hop, pop"
Enrique Iglesias,79,11284374,"dance pop, latin pop, mexican pop"
Daddy Yankee,88,35724593,"latin hip hop, reggaeton, trap latino, urbano latino"
Luis Fonsi,75,10666827,"latin pop, puerto rican pop"
Barry Wordsworth,53,2399,"classical performance, orchestral performance"
Eva Poured,43,79,rain
Daughter,62,1383222,"chamber pop, shimmer pop"
Kelis,64,642505,"dance pop, hip pop, neo soul, urban contemporary"
Kid Cudi,80,7321109,"hip hop, ohio hip hop, pop rap, rap"
Sheryl Crow,67,1234219,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Jagarizzar,19,328,melanesian pop
Fetty Wap,71,4768181,"new jersey rap, pop rap, rap, southern hip hop, trap"
Becky G,79,15471749,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Arena Louvor,27,22742,sertanejo gospel
Ian Bairnson,5,163,
Betty Wright,48,295202,"classic soul, quiet storm, soul, southern soul"
Lovely Rapper Shridhar,37,65874,
Ally Brooke,46,454437,post-teen pop
Bonnie Raitt,59,753335,"country rock, electric blues, folk, folk rock, mellow gold, singer-songwriter, soft rock"
Jamie xx,67,879416,"electronica, future garage, indie soul, indietronica"
Josaffahr Vevo,22,57,
Dead When I Found Her,15,6027,"ebm, electro-industrial, futurepop, industrial metal"
TAEMIN,64,3053671,k-pop
Molly Shannon,3,51,
Tom Morello,72,204771,modern alternative rock
Kurtis Blow,41,228486,"east coast hip hop, harlem hip hop, old school hip hop"
Depeche Mode,76,6738480,"dance rock, new romantic, new wave, permanent wave, rock, synthpop"
Crowder,62,493418,"ccm, christian alternative rock, christian music"
Zach Bryan,90,5675448,classic oklahoma country
Cissy Houston,34,9828,
Jarren Benton,47,198428,"atl hip hop, deep underground hip hop, indie pop rap"
Chester Bennington,43,190430,electronic rock
USHER,83,12512822,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Taylor Swift,100,127838324,pop
Olivia Rodrigo,88,41986790,pop
Bruce Springsteen,80,6700348,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
Eurythmics,71,2137664,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Rap Lyrics by: Varun Likhate,0,1,
Doc Watson,48,114356,"american folk revival, appalachian folk, bluegrass, folk, progressive bluegrass, traditional folk"
Lorde,78,10106142,"art pop, metropopolis, nz pop, pop"
Jeff Andrews,9,327,
Rihanna,92,64178109,"barbadian pop, pop, urban contemporary"
Deryck Whibley,31,370,
Joan Jett & the Blackhearts,66,925429,"glam punk, rock"
Spencer Sutherland,52,180464,pop soul
Cardi B,80,24770146,"pop, rap"
Diddy,73,1828548,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap"
Tierra Whack,56,508819,alternative r&b
Don Henley,64,1629519,"album rock, classic rock, mellow gold, singer-songwriter, soft rock, yacht rock"
Hudson Westbrook,67,80907,
Robert Kelly,21,6153,"deep comedy, new comedy"
ROSÉ,88,8674192,k-pop
Drew Dixon,13,1529,
D'Angelo,61,1244340,"indie soul, neo soul, soul"
James Hetfield,21,16308,
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Mooncat,27,6661,ragga jungle
Seymour Swine,11,104,
Jo Koy,37,8158,deep comedy
Reese Witherspoon,58,15017,hollywood
Galen Johnson,5,24,
Flashbacks,0,43,
Listener Kids,53,48229,
Michael Stipe,24,60,
Ghostface Killah,65,952852,"east coast hip hop, hardcore hip hop"
Tim Legend,35,27573,
Cassandra Jenkins,45,46166,countrygaze
Caballo Dorado,50,95206,
Reneé Rapp,69,987236,alt z
Stewart Copeland,34,20358,rock drums
Jin Gates,12,27443,asian american hip hop
Kesha,82,8354154,"dance pop, pop"
Madison Beer,75,7374430,pop
Tobias Jesso Jr.,33,54681,beatlesque
ODESZA,69,1661633,"chillwave, edm, indietronica"
Smokey Robinson,55,1303892,"classic soul, disco, funk, motown, quiet storm, soul"
Jo Mersa Marley,43,38188,modern reggae
Jimmyg Aka Young Carter& Lil Emo Carter,0,14,
Purple Feathers,4,3,
Meiko Nakahara,39,16376,
Foo Fighters,78,12209202,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
The Minions,61,355420,cartoon
Gracie Abrams,91,3457217,alt z
Farrah Easter,14,49,
CLOUDER,40,635,
The Chili Peppers,3,235,
Gary Clark Jr.,56,948551,"electric blues, modern blues rock, rock, soul blues, texas blues"
Sophie Allison,0,5,
Andrew VanWyngarden,33,5988,
Travis Tritt,66,1473305,"contemporary country, country, country road, outlaw country"
JENNIE,82,8037993,k-pop
Sharpe Family Singers,30,13555,
たけし軍団COUNT DOWN,2,93,
David Lynch,40,156571,"dark ambient, dark jazz, montana indie"
Steve Lacy,83,5414575,afrofuturism
Weyes Blood,59,497807,"art pop, chamber pop, dream pop, experimental folk, experimental pop, indie pop"
Alice Cooper,64,3816910,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock"
The Beatles,86,28940461,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Mac Miller,84,11110492,"hip hop, pittsburgh rap, rap"
BL8M,63,52190,
Kamala Harris,8,398,
Simone Baillard,45,157,
Takeoff,68,2022641,"atl hip hop, rap, trap"
Gene Simmons,29,102799,glam metal
Adam Sandler,49,172605,comic
Hittman,60,22467,
Bowser,27,3630,psybreaks
"George ""Funky"" Brown",0,38,
The Prizefighter,33,2238,bossbeat
Poor Man's Poison,66,521872,deathgrass
Clairo,82,5546675,"bedroom pop, indie pop, pov: indie"
Beyonce Smooth Jazz Tribute,3,54,
Rhiannon Giddens,49,157417,"black americana, folk, new americana, north carolina roots"
Chris Martin,66,59612,
Heartfelt Piano,0,0,
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Death Cab for Cutie,64,1554117,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie"
Debbie Harry,42,49170,new wave pop
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Olivia Isabel Rodrigo,0,161,
Ed Sheeran,90,117757199,"pop, singer-songwriter pop, uk pop"
Faye Webster,74,1600153,"atlanta indie, indie pop"
Nigel Short,44,1843,choral
DLG.,51,25964,
Skinny Mo,7,196,
Joe Trohman,0,577,
Thin Lizzy,62,1300027,"album rock, blues rock, classic rock, glam metal, hard rock, irish rock, metal, rock"
Shakey Graves,61,562606,"austin americana, austindie, indie folk, new americana, seattle indie, stomp and holler"
Billy Joel,79,6483811,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
Matt McJunkins,11,324,
Unveil The Strength,20,5770,gymcore
Eurythmics,71,2137664,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Aftertheparty,42,147820,trap soul
Larry Carlton,44,129199,"jazz fusion, jazz guitar, smooth jazz"
Emmanuel Macron,0,18,
SIVAN,49,54276,viet chill rap
Adam Lambert,61,1629075,"dance pop, idol, pop, post-teen pop"
Stromae,82,3536662,"belgian pop, g-house"
Chris Martin,66,59612,
Jazmine Sullivan,67,2112966,"hip pop, neo soul, r&b, urban contemporary"
Adrienne Houghton,28,4903,
XTINA GG,37,11577,
WILLIS,57,153094,alabama indie
RYMAN,19,3719,
Nardo Wick,67,1365280,"florida drill, florida rap, southern hip hop"
Iannis Xenakis,23,40639,"acousmatic, avant-garde, contemporary classical, greek contemporary classical"
Journey,76,5861157,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
Lil Baby,87,19180629,"atl hip hop, atl trap, rap, trap"
Kick Ass,1,7,
Malcolm Todd,64,292916,bedroom r&b
Martin & Shirlie,10,724,
Nancy Sinatra,68,507527,"lounge, sunshine pop"
Jessica Pratt,24,662,classical soprano
Les McCann,35,41521,"jazz funk, jazz piano, soul jazz"
Dickinson,0,75,
Jackie Wilson,57,462540,"chicago soul, classic soul, quiet storm, rock-and-roll, soul"
Glinda,2,16,
Gilda Mignonette,1,447,canzone napoletana
Catherine Russell,54,31712,contemporary vocal jazz
Joe McBride,41,17498,smooth jazz
Diplo,79,2708725,"dance pop, edm, electro house, moombahton, pop dance"
Will Reagan,57,138159,"ccm, deep ccm, worship"
karaokey,48,2389,
Sing Along,1,58,
Bassnectar,53,602152,"bass music, breakbeat, brostep, edm, glitch hop"
Holiday Hit Makers,5,80,
ScHoolboy Q,78,4865137,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Jay Trak,62,122300,punjabi pop
chromatic reflections,52,823,calming instrumental
Prince,72,7540078,"funk, funk rock, minneapolis sound, rock, synth funk"
Gloria Gaynor,65,1097092,"disco, soft rock"
The Lumineers,79,5562642,"folk-pop, modern rock, neo mellow, stomp and holler"
Dre,43,6252,
Moe Shop,53,299679,"future funk, kawaii future bass"
Perfect Friend,4,225,
Megadeth,71,5619430,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal"
Colin Burgess,0,14,
Ariana Grande,95,101781212,pop
slowed down audioss,50,8561,
Helen Mirren,2,94,
Melissa Auf der Maur,31,39060,rock quebecois
Keke Palmer,54,722275,"pop r&b, post-teen pop, r&b"
The Midnight,60,513933,"nightrun, popwave"
Angela Yee,0,42,
Weyes Blood,59,497807,"art pop, chamber pop, dream pop, experimental folk, experimental pop, indie pop"
Felt,36,49620,"c86, dream pop, tape club, uk post-punk"
John Summit,74,413406,house
"Choir of King's College, Cambridge",64,81728,"british choir, cambridge choir, choral"
Penn Badgley,2,34,
nike kicks,32,1068,
Gordon Lightfoot,63,944388,"canadian country, canadian singer-songwriter, classic rock, country rock, folk, folk rock, mellow gold, singer-songwriter, soft rock"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Dirty Heads,64,845480,"reggae fusion, reggae rock"
Chris Maas,0,7,
Alicia Keys,81,12270758,"neo soul, pop, r&b"
Mitch Rowland,27,37872,
Dwight Yoakam,61,708645,"bakersfield sound, country, country rock"
JLO,13,255,
Madi Diaz,47,49678,acoustic pop
Summer Carnival,6,407,
Perfume Genius,51,396978,"art pop, chamber pop, indie rock, indietronica, neo-synthpop, seattle indie"
Lilyisthatyou,57,83957,alt z
Michael Anthony,25,524,
Travis Scott,94,35213935,"rap, slap house"
Trey Songz,71,7531197,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Wallo Bang,37,128,
Joey King,4,1247,
Sweet Honey In The Rock,35,25282,"gospel, women's music"
Reso,27,18403,filthstep
Gloria G,27,11,
Foo Fighters,78,12209202,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
Barack Obama,24,54730,oratory
Melissa Jay,37,285,
Omar Courtz,81,470829,"trap boricua, trap latino, urbano latino"
WINNER,54,2455711,"k-pop, k-pop boy group"
Cameo,53,649065,"disco, funk, motown, new jack swing, p funk, popping, post-disco, quiet storm, soul"
Brian Garner,38,44,
Rusko,46,276090,"brostep, classic dubstep, filthstep"
Osbourne,0,62,
Taylor Girlz,46,222600,trap queen
Tanya Donelly,23,17371,"alternative pop, boston rock"
Rob Schneider,39,1195,
Bully,44,95515,"bubblegrunge, indie punk"
Rev Theory,52,281153,"alternative metal, nu metal, post-grunge, rebel blues"
Young Thug,86,10896970,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap"
Kensington,53,452026,"dutch indie rock, dutch pop, dutch rock"
"Orchestra of the Royal Opera House, Covent Garden",53,22558,orchestra
The Lee Harvey Oswald Band,4,826,
Lucy Dacus,69,531972,"art pop, indie pop"
Dua Lipa,88,45164486,"dance pop, pop, uk pop"
Chaki Zulu,38,2307,
Hudson Westbrook,67,80907,
Billy Crystal,41,6804,movie tunes
Jeff Tweedy,42,94921,"alternative country, chamber pop, roots rock, singer-songwriter"
Maggie Rogers,71,1183776,indie pop
Hologramme,32,7246,
Chanté Moore,44,581923,"contemporary r&b, r&b, urban contemporary"
Neema Nekesa,42,6354,
Jimmy Eat World,70,1641669,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Disco Inc.,36,15163,midwest emo
Adam Hood,35,15190,classic texas country
Brad Paisley,67,2834914,"contemporary country, country, country road"
Roy Haynes,36,22991,"avant-garde jazz, bebop, contemporary post-bop, hard bop, jazz, jazz drums"
Moses Sumney,55,377723,"alternative r&b, art pop, indie soul, la pop"
Anuel AA,89,39277198,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Titus Haskins,40,2637,
Marshall Franklin-Ravel,2,111,
Hannah Spearritt,0,61,
Jimmy Console,10,868,
John Cameron Mitchell,20,3285,
Lenny Kravitz,74,3408250,"permanent wave, rock"
Lizzy McAlpine,75,1133579,"alt z, boston folk, indie pop, singer-songwriter pop"
Oasis,81,10977497,"beatlesque, britpop, madchester, permanent wave, rock"
David Byrne,54,398772,"art pop, art punk, art rock, permanent wave, singer-songwriter, solo wave"
Rihanna,92,64178109,"barbadian pop, pop, urban contemporary"
Sleater-Kinney,45,270363,"alternative rock, indie rock, noise pop, olympia wa indie, riot grrrl"
Mommy Long Legs,51,148147,riot grrrl
World Tour Music,2,5,
JAY-Z,85,9633241,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
FKA twigs,66,1295505,"afrofuturism, alternative r&b, art pop, escape room, experimental r&b, trip hop"
Phillip Boykin,17,119,
Darian Donovan Thomas,23,673,
Lady Gaga,92,33270038,"art pop, dance pop, pop"
Meghan Trainor,81,15507268,"hip pop, pop"
femtanyl,62,207678,
MoFi,0,45,
Anyma,69,583073,stutter house
Cody Jinks,65,1071517,"classic texas country, modern southern rock, outlaw country"
Kendrick Lamar,97,35133587,"conscious hip hop, hip hop, rap, west coast rap"
Childish Gambino,81,13632628,"atl hip hop, hip hop, rap"
Kim Petras,75,1140950,"alt z, dance pop, pop, transpop"
Yung Miami,48,104177,miami hip hop
