artist,popularity,followers,genres
"Kim Gun Mo, Ok Joo Hyun, Kim Jong Kook, SHINHWA, Maya, Jewelry, Hwayobi, Lee Seung Chul",0,4,
Awsten Knight,26,2252,
Andy Samberg,15,552,
Lisa Gerrard,69,190319,"ethereal wave, neoclassical darkwave, oceania soundtrack, soundtrack"
James Frost,18,603,
BEAULEXX,19,1041,
Doug E. Fresh,39,280002,"beatboxing, contemporary r&b, east coast hip hop, harlem hip hop, old school hip hop"
Robert Schumann,67,589484,"early romantic era, german romanticism"
Bobby Raps,45,42061,"cloud rap, emo rap, minnesota hip hop"
Samira Sila,26,823,
Reneé Rapp,69,987236,alt z
Janis Joplin,63,3459089,"album rock, classic rock, hard rock, psychedelic rock, rock"
Nicki Minaj,87,32918702,"hip pop, pop, queens hip hop, rap"
TLC oficial,3,44,
Paul Thomas,42,14078,"melodic house, progressive house"
Trevor Phillips,0,1,
Laura Bell Bundy,52,26049,"broadway, country dawn, show tunes"
Selena Cross,16,426,
Loud Luxury,68,669802,"edm, pop dance"
ABC's Alphabet Song,8,57,
Kim Deal,51,32618,
Nick Offerman,32,1970,
Lewis Capaldi,81,13041511,"pop, uk pop"
kwn,53,34810,
Bikini Kill,53,546013,"olympia wa indie, punk, riot grrrl"
Sturgill Simpson,66,931585,"alternative americana, kentucky roots, nashville singer-songwriter, new americana, outlaw country"
Prison Affair,39,28612,"egg punk, garage punk"
Rockin,0,11,
Maggie Rogers,71,1183776,indie pop
Kevin Bacon,34,2428,
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
gary gary,25,117,
Jeffrey Gaines,23,5575,
Kesha,82,8354154,"dance pop, pop"
LaBelle,43,86662,"disco, quiet storm"
Mary Lattimore,44,56839,"art pop, electra, experimental ambient, jazz harp, pastoral, spectra"
Osrin,23,14550,swedish tropical house
Dominic Fike,79,1953220,"alternative pop rock, pov: indie"
Quavo,81,7612262,"atl hip hop, melodic rap, rap, trap"
Tangk,0,14,
Sounding Cosmos,39,45,
Earl Scruggs,41,48658,"banjo, bluegrass, instrumental bluegrass"
The Emotions,66,595979,"chicago soul, classic soul, disco, funk, girl group, motown, post-disco, quiet storm, soul, southern soul"
Proud,12,14,
Marilyn Manson,73,4589937,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
Tweedy,27,32741,alternative country
Ncuti Gatwa,6,15,
Ralph Stanley,43,72151,"banjo, bluegrass, bluegrass gospel"
The Shins,63,1199579,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, stomp and holler"
AMPERS&ONE,39,46736,5th gen k-pop
Lola Young,78,372325,uk pop
James Blunt,73,3091704,neo mellow
Weiland,42,52724,"plugg, pluggnb"
Nemo Lin,10,73,
Tee Grizzley,72,3826865,"detroit hip hop, detroit trap, rap, southern hip hop, trap"
Axl Rose,26,38830,
Eddie Vedder,63,1638523,"acoustic rock, grunge, permanent wave"
Ivan Cornejo,79,3447617,sad sierreno
Jason Derulo,79,12303149,"dance pop, pop"
Cristian Castro,72,3739290,"latin arena pop, latin pop"
Warren Haynes,47,144050,"blues rock, jam band, modern blues, southern rock"
Anastasia,56,281712,"greek pop, laiko"
Jacob Collier,9,325,
Mick Jones,51,2805,album rock
Corey Taylor,56,630463,"alternative metal, alternative rock, nu metal, post-grunge"
Miles Davis,65,2611790,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, soul, vocal jazz"
Aaron Dessner,37,12211,
Gwen Stefani,77,6700629,"dance pop, pop"
Guardian Angel,35,49102,kenyan pop
Shawn Mendes,85,43885641,"canadian pop, pop, viral pop"
Jennifer Hudson,64,2003714,"dance pop, r&b, urban contemporary"
Arrested Development,51,305323,"atl hip hop, conscious hip hop, hip hop, old school atlanta hip hop"
Latto,80,1848568,trap queen
Donald,39,3981,
1up Tee,46,22516,
Fred Durst,53,14917,nu metal
TrackMoney P,47,17314,
Escape the Fate,64,1371490,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo"
Paul Rudd,14,434,
Niki Randa,37,2166,
Lil Wayne,88,15793200,"hip hop, new orleans rap, pop rap, rap, trap"
Safe Wave,37,394,
Masked Wolf,64,757315,australian hip hop
Lord Distortion,39,9412,dark trap
Cardi B,80,24770146,"pop, rap"
Tina Turner,71,4353201,soft rock
Kyra Tantao,29,1124,
Matt Damon,28,833,hollywood
Ben Fong-Torres,0,16,
Jump,9,429,
Judee Sill,36,56375,singer-songwriter
Blessd,84,5687657,"reggaeton, urbano latino"
Selena Gomez,83,51365874,"pop, post-teen pop"
Made famous by Katy Perry,18,285,
Genevieve Stokes,54,112882,modern alternative pop
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Brian Eno,62,774163,"abstract, ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
Orquestra Societat Concerts Barcelona,0,2,
Mortimer,42,30085,modern reggae
Halloween All-Stars,33,6069,halloween
Money For Nothing,26,454,
Bye Bye Birdie Ensemble,21,595,
Daisy Grenade,44,49340,
Lil Nas X,76,12406241,lgbtq+ hip hop
Bonuses,0,0,
LAZER DIM 700,65,275848,atl drill
Corey Hart,50,298249,"album rock, new romantic, new wave pop, soft rock, synthpop"
Sorry Sorry,0,109,
Thom Yorke,60,1136524,"alternative rock, art pop, art rock, electronica, glitch pop, indie rock, oxford indie"
千葉雄喜,66,114160,
Ty Dolla $ign,84,5817493,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
Skrillex,77,7651831,"brostep, complextro, edm, electro, pop dance"
KillWill,27,3369,
Maren Morris,71,837482,"classic texas country, contemporary country"
Kevin Brophy,0,1,
William Miller,11,272,
whxtt,45,8103,
Aqua,67,672985,"bubblegum dance, eurodance, europop"
Brandy Hayes,12,23,
Irving Berlin,45,32229,tin pan alley
Marilyn Manson,73,4589937,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
Black Sherif,65,1427427,"afrobeats, ghanaian pop, nigerian pop"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Charlie Puth,81,23681287,"pop, viral pop"
Melissa Barrera,48,5103,show tunes
Taylor Swift,100,127838324,pop
Jimmy Fallon,57,74954,
lavender home,38,132,
Jason Isbell,53,438359,"alternative country, folk, new americana, roots rock"
Tyla,78,2237053,
Amy Winehouse,80,9281886,"british soul, neo soul"
Olivia Rodrigo,88,41986790,pop
Title Fight,66,491059,"dreamo, emo, grungegaze, spacegrunge, zoomergaze"
Lady Gaga,92,33270038,"art pop, dance pop, pop"
Tom Scharpling,52,2053,
Michael McDonald,59,547611,"mellow gold, soft rock, yacht rock"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Lorde,78,10106142,"art pop, metropopolis, nz pop, pop"
Travis Barker,68,474242,rap rock
Fred Durst,53,14917,nu metal
Dan McCafferty,16,4081,
Mdou Moctar,39,143311,"desert blues, musique nigerienne, tuareg guitar"
Sues,6,18,
TWICE,80,21055523,"k-pop, k-pop girl group, pop"
Hunter Hayes,57,1243698,"contemporary country, country, country road, modern country rock"
Alexander Woods,2,0,
Waylon Wyatt,67,146310,
Roger Taylor,34,353018,"album rock, rock drums"
Aske,2,17,
Lana Del Rey,92,42524628,"art pop, pop"
Kate Bush,72,2231094,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter"
Dre,43,6252,
Moodena,31,4458,funky house
Rick Rubin,28,8362,
Ronald Isley,54,203445,"contemporary r&b, new jack swing, r&b"
ptasinski,69,189673,
Rodney Atkins,66,1930509,"contemporary country, country, country road"
Jessi Colter,40,53059,"classic country pop, outlaw country"
Soft Drugs,0,51,
Yuka Kitamura,55,40394,video game music
Russian Roulette,8,427,
blink-182,79,8673979,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Jimmy McGriff,35,35319,"hammond organ, jazz funk, jazz organ, soul jazz"
The Equatics,37,31076,psychedelic soul
Keith Levene - MURDER GLOBAL,0,82,
Burna Boy,80,10888270,"afrobeats, dancehall, nigerian hip hop, nigerian pop"
Kylie Minogue,75,2106222,"australian dance, australian pop, dance pop, eurodance, new wave pop"
Emahoy Tsege Mariam Gebru,50,78535,"ethio-jazz, impressionism"
The Pride of the Southland Marching Band,18,934,
Justin Park,43,94175,"bedroom r&b, chill r&b"
Troye Sivan,79,8681659,"australian pop, pop, viral pop"
Mac Miller,84,11110492,"hip hop, pittsburgh rap, rap"
Sarah Darling,34,42370,"country dawn, country pop"
DreTL,39,12886,
daiagnosis,28,153,
Tour,2,100,
Avenged Sevenfold,78,9523163,alternative metal
Shaheerah Farrakhan,5,5,
Arcade Fire,65,2332185,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock"
Babylon,40,35637,"k-rap, korean r&b"
The Decline,32,13015,"fast melodic punk, skate punk"
Lipstick Lovers,1,38,
Dave Grohl,46,254952,"alternative rock, rock drums"
Borodin Trio,10,462,classical piano trio
Ken Kelly,23,3357,
Laufey,84,5986996,gen z singer-songwriter
Quavo,81,7612262,"atl hip hop, melodic rap, rap, trap"
Lily Allen,69,2086670,"dance pop, electropop, neo mellow"
Dominant,31,4478,
Cassie,67,1702392,"dance pop, hip pop, pop rap, r&b, urban contemporary"
ROLE MODEL,68,501909,"alt z, bedroom pop, pov: indie"
Olivia Rodrigo,88,41986790,pop
Darlene Love,72,61014,
Myke Towers,90,17615522,"reggaeton, trap latino, urbano latino"
Jennifer Rene,39,7733,vocal trance
Dangerous Minds Crew,0,5,
Billie Eilish,96,103636544,"art pop, pop"
Ratt,59,1194179,"album rock, glam metal, hard rock"
Eileen Alister,38,20217,
Eric Burton,28,32,
Cardi B,80,24770146,"pop, rap"
Cher,73,3521726,"dance pop, pop"
Peter Collins,29,54989,
Sue Cho,18,671,
Drake,96,94133053,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Alaman Diadhiou,4,1,
Ed Sheeran,90,117757199,"pop, singer-songwriter pop, uk pop"
Rudolph Isley,5,77,
Axel Rulay,51,269780,
Sabrina Carpenter,94,16168228,pop
Nicholas Petricca,34,757,
Travis Scott,94,35213935,"rap, slap house"
Roddy Ricch,80,11040069,"melodic rap, rap, trap"
The Stevens Family,3,772,family gospel
Dulcet,3,195,
Ethel Cain,69,766474,"countrygaze, indie pop, modern dream pop"
Dre,43,6252,
John Taylor,6,840,
Harrison,37,20489,"future funk, toronto indie"
Taylor S Brooks,53,75,
Tattoos,0,14,
Texas Hippie Coalition,45,222534,"groove metal, southern metal"
Jongkuk Kim,15,344,
Victoria Monét,68,1164466,"alternative r&b, r&b"
Tayler Holder,51,151666,social media pop
Ramsey,62,56699,"dark pop, dark r&b"
Adrian Kwiatkowski,2,2150,
Maxwell Frost,34,38,christmas instrumental
Clairo,82,5546675,"bedroom pop, indie pop, pov: indie"
Mariah Carey,86,10743864,"dance pop, pop, urban contemporary"
DRAIN,46,98172,california hardcore
Gracie Abrams,91,3457217,alt z
Dimitris Minakakis,0,10,
Tate McRae,86,6357420,pop
Alec Benjamin,77,5313504,"alt z, pop, pov: indie"
Justin Bieber,92,79320329,"canadian pop, pop"
Tour De Manège,36,7112,hip-hop experimental
Nathaniel Rateliff & The Night Sweats,62,663588,"indie folk, modern blues rock, new americana, stomp and holler"
*Unknown,17,293,
Rain Radiance,58,1479,shush
Loom room,44,4809,
Shows,0,55,
Sharon Van Etten,57,545273,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter"
Sylvain Millepied,30,14432,
Ike & Tina Turner,51,328807,"classic soul, disco, rock-and-roll, soul, southern soul"
Omar Apollo,70,1063487,"bedroom pop, bedroom soul"
Stephen Schwartz,74,26950,"broadway, show tunes"
Honor & Glory,30,8645,christian rock
Led Zeppelin,77,14930288,"album rock, classic rock, hard rock, rock"
Kristin Chenoweth,73,174479,"broadway, show tunes"
Steve Mackey,35,512,
Wyatt Flores,69,325877,"modern country pop, oklahoma country"
Dave Mustaine,29,14470,
Transformers,39,7033,
Bruno Mars,96,63737509,"dance pop, pop"
Safari Riot,42,4885,
Jerry Garcia Band,45,192900,"jam band, southern rock"
RÜFÜS DU SOL,76,1890636,"australian electropop, indietronica"
Lady Gaga,92,33270038,"art pop, dance pop, pop"
The Beatles,86,28940461,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Dre,43,6252,
Steven Van Zandt,16,1768,
Sharon D. Clarke,65,34,
WOOZI,49,467532,
Melanie Martinez,79,21612496,"alt z, electropop, pop"
Jimmie Allen,54,265249,"black americana, contemporary country, country road, modern country rock"
Janet Jackson,66,3987439,"dance pop, r&b, urban contemporary"
Beyoncé,87,39171117,"pop, r&b"
Mike Gordon,32,27794,jam band
Margaret Glaspy,33,72023,"indie folk, indie pop"
Gloria Estefan,65,820448,"new wave pop, soft rock"
Cher,73,3521726,"dance pop, pop"
Phish,54,531283,jam band
Mike Campbell,21,2407,
Super Guitar Bros,57,38646,vgm instrumental
Lil Nas X,76,12406241,lgbtq+ hip hop
Matthew Sweet,41,77486,"alternative rock, jangle pop, laboratorio, power pop, underground power pop"
Say Goodbye,0,169,
Brian Wilson,41,158728,"baroque pop, sunshine pop"
Turns Out,0,3,
Sharon Musgrave,8,181,
Depeche Mode,76,6738480,"dance rock, new romantic, new wave, permanent wave, rock, synthpop"
Joe Leytrick,31,931,
Alvin & The Chipmunks,61,248836,children's music
Chappell Roan,88,4224927,indie pop
The Sax Crew,16,1511,
Florence Pugh,35,31751,
Miles Davis,65,2611790,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, soul, vocal jazz"
Moneybagg Yo,77,4771794,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Auditory Illusion,26,62,
Chris Ruggiero,7,676,
Kesha,82,8354154,"dance pop, pop"
Mike Doughty,33,37967,
Camel,49,384579,"canterbury scene, flute rock, progressive rock, symphonic rock, synth prog"
6th Street Jazz,52,3678,
Julia Fox,29,9562,
Billy Joel,79,6483811,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
Lana Del Rey,92,42524628,"art pop, pop"
blink-182,79,8673979,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Taylor Dawson,46,446,
Mayer Hawthorne,54,297820,pop soul
Lady Gaga,92,33270038,"art pop, dance pop, pop"
Andy Rourke,23,818,
Taylor Swift,100,127838324,pop
Dawn Richard,44,105056,"afrofuturism, alternative r&b"
Roddy Ricch,80,11040069,"melodic rap, rap, trap"
Taylor Swift,100,127838324,pop
Sheryl Crow,67,1234219,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Linkin Park,93,27952596,"alternative metal, nu metal, post-grunge, rap metal, rock"
John McKinney And The Premiers,0,0,
Eric Church,72,3952263,"contemporary country, country, country road"
Sky Ferreira,56,614026,"candy pop, la indie, metropopolis, neo-synthpop"
Carol Kane,26,16,
Maya Hawke,54,505681,indie pop
Emily Armstrong,65,4114,
Chlöe,61,582283,contemporary r&b
Thierry Mugler,0,32,
Johnny Marr,51,144313,"britpop, solo wave"
Sam Levine,53,13995,"instrumental worship, jazz worship"
Katie Gavin,52,25560,
Suzanne Vega,58,514635,"lilith, new romantic, new wave pop, permanent wave, singer-songwriter"
Richard Swift,39,47652,
The Irish Rovers,54,170523,"canadian celtic, irish folk, irish pub song, shanty"
Naomi Campbell,45,2885,
Rocky Road Heaven,45,18,
Young Miko,80,3603660,"trap latino, urbano latino"
Keke Palmer,54,722275,"pop r&b, post-teen pop, r&b"
YG,74,3378531,"cali rap, hip hop, pop rap, rap, southern hip hop, trap"
David Gilmour,62,1961319,"album rock, art rock, classic rock, progressive rock, symphonic rock"
Weyes Blood,59,497807,"art pop, chamber pop, dream pop, experimental folk, experimental pop, indie pop"
Theo,32,383,muzica crestina
The Stooges,52,649799,"alternative rock, detroit rock, permanent wave, protopunk, punk"
Billie Eilish,96,103636544,"art pop, pop"
Danny L Harle,45,68519,"escape room, hyperpop, proto-hyperpop"
Tracy Morgan,19,1385,deep comedy
Roger Waters,53,1530922,"album rock, art rock, classic rock, progressive rock, symphonic rock"
Alex G,78,2666791,"philly indie, pov: indie, slacker rock"
Alex Jones,34,5839,australian underground hip hop
Lin-Manuel Miranda,75,710982,"broadway, show tunes"
Outloud,24,5814,"greek metal, melodic hard rock"
StarKid Productions,38,18115,
Tom Skinner,24,8332,experimental jazz
VIC MENSA,56,616809,"canadian hip hop, chicago rap, conscious hip hop, underground hip hop"
Jin Eun-Kyung,37,68,
Thomas Bangalter,5,50,
Luke Brady,35,712,
Anthem Lights,55,432648,"channel pop, viral pop"
InSight The Rapper,23,204,
Brittney Spencer,49,37308,black americana
Sara Bareilles,66,1958245,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Lisa Knowles,32,5689,contemporary gospel
Christine and the Queens,59,718741,"art pop, electro-pop francais, metropopolis, shimmer pop"
Sneak Peek,0,60,
Kiana Ledé,63,1709346,"pop r&b, r&b"
Shamir,31,78459,escape room
David Crosby,43,314258,"classic rock, cosmic american, country rock, folk, folk rock, mellow gold, singer-songwriter"
AFI,62,942047,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo"
Berry Gordy,16,1856,
Nashville Tribute Collection,45,5687,
FKA twigs,66,1295505,"afrofuturism, alternative r&b, art pop, escape room, experimental r&b, trip hop"
Paris Concerts Orchestra,0,1,
Remi Wolf,68,565475,"indie pop, modern alternative pop"
Milli Vanilli,68,469370,"freestyle, new jack swing, new wave pop"
Taylor Savvy,7,188,
Little Simz,71,1097866,"alternative r&b, escape room, trap queen"
Patrick Carney,38,7542,
Sinéad O'Connor,65,1297845,"lilith, new wave pop, singer-songwriter"
Tom Francis,48,189,
Never Forget Me,40,15838,
Roger Miller,54,279895,"classic country pop, classic oklahoma country, nashville sound"
Valentina Fast,40,1919,
Lyrical Lemonade,59,171706,
Rich Homie Quan,69,2913209,"atl hip hop, rap, southern hip hop, trap"
Dolly Parton,76,2680258,"classic country pop, country, country dawn"
Tiny Moon,42,394,
Zach Bryan,90,5675448,classic oklahoma country
Bad Brains,49,478440,"black punk, dc hardcore, hardcore punk, nyhc, punk"
Drip Drop Rainstorm,12,3,
Max Cavalera,36,3411,
Black Sabbath,74,8370053,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
"Lindsey Jordan, Kenny Lambson, Amy Loftus & Scott Erickson",0,8,
Higher Brothers,53,299345,"chinese hip hop, sichuanese hip hop"
Jerry Moss,0,6,
Carlos Tatum,15,54,
Premiere Cast,10,685,
Aldo Ranks,53,54653,panamanian pop
Sexual Purity,32,22221,ukrainian post-punk
Rihana Shae,5,247,
Gun Kelly,0,24,
Sierra Ferrell,64,322184,"alternative americana, new americana"
Hitsujibungaku,61,327911,"j-pop, j-rock, japanese alternative rock"
Mettaverse,27,4360,
Katie Torwalt,37,2027,
Delux,52,10131,
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Phil Spector,33,29338,brill building pop
Swae Lee,81,2456632,"melodic rap, rap, trap"
Jackie Brown Orchestra,5,19,
Joy Division,65,2577856,"alternative rock, indie rock, madchester, new wave, post-punk, punk, rock, uk post-punk"
Julie Gardner,40,63,instrumental lullaby
Domingo Quiñones,43,106962,salsa
Sky Ferreira,56,614026,"candy pop, la indie, metropopolis, neo-synthpop"
Jackson Browne,62,1382004,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock"
Stevie Wonder,79,6704872,"motown, soul"
Bullshit Detector,16,1303,
Mike Dean,23,344,
Boyd Tinsley,1,923,charlottesville indie
Nicolas Cage Fighter,10,5891,
Adele,87,60800041,"british soul, pop, pop soul, uk pop"
Greg Kurstin,60,39660,
DJ White Shadow,42,3844,
Chromatics,59,463718,"alternative dance, art pop, chillwave, dream pop, indietronica, modern dream pop, neo-synthpop"
Megan Fox,20,383,
"Adele Addison, Russell Oberlin, David Lloyd, William Warfield, Westminster Abbey Choir, New York Philharmonic, Leonard Bernstein",0,9,
Hole Dweller,31,10987,"comfy synth, dungeon synth"
WALK THE MOON,71,2153776,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock"
Longhorns,0,20,
Vampire Weekend,67,1994418,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
JC Reyes,76,1027536,urbano espanol
Hannah Montana,64,4757220,"pop, post-teen pop"
ap,11,22,
Lil Durk,82,8311401,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap"
Ruban Nielson,3,194,
Richie Sambora,38,216813,glam metal
The Fallen Idols,0,41,
Faye Webster,74,1600153,"atlanta indie, indie pop"
Maestro,12,151,
Michael Bublé,88,6513878,"adult standards, canadian pop, jazz pop, lounge"
Maliibu Miitch,40,145590,trap queen
Ferris Bueller,12,1296,
Jazzy Coffee,65,8007,
Eminem,93,94370716,"detroit hip hop, hip hop, rap"
Yoko Ono,71,141419,"experimental, experimental pop"
Gladys Knight,55,289584,"disco, motown, quiet storm, soul"
Victoria Beckham,28,123630,europop
Roses On The Moon,19,2718,
James Blake,71,1503203,"art pop, indie soul, indietronica, uk alternative pop"
Khalid,85,16490775,"pop, pop r&b"
Jack White,61,1382061,"alternative rock, blues rock, garage rock, garage rock revival, indie rock, modern blues rock, modern rock, punk blues, rock"
Elizabeth Cook,32,20015,"alternative country, outlaw country"
Matthew Ineleo,59,646,
Ariana DeBose,58,37537,movie tunes
FKA twigs,66,1295505,"afrofuturism, alternative r&b, art pop, escape room, experimental r&b, trip hop"
MM,10,30,
FANNIE WILLIS,0,5,
Shakira,88,35739060,"colombian pop, dance pop, latin pop, pop"
Steve Cooney,18,1578,irish gaelic folk
Chris Martin,66,59612,
Kendrick Lamar,97,35133587,"conscious hip hop, hip hop, rap, west coast rap"
The Elf on the Shelf,39,2641,
Ashley Rex,10,56,
Billy Ray Cyrus,63,260273,country rock
Dolly Parton,76,2680258,"classic country pop, country, country dawn"
DJ White Shadow,42,3844,
Leon White,53,1048,background music
Trailblazers Radar,8,80,
Eminem,93,94370716,"detroit hip hop, hip hop, rap"
Shiro SAGISU,65,208918,"anime score, japanese soundtrack"
Jonny Greenwood,47,178826,"british contemporary classical, british soundtrack, compositional ambient"
grammysammy,0,2,
Danny Carroll,18,87,
Jennifer Hudson,64,2003714,"dance pop, r&b, urban contemporary"
Brent Morgan,61,345201,gen z singer-songwriter
Lord Lorenz,47,25082,"dark trap, phonk"
Travis Scott,94,35213935,"rap, slap house"
Travis Kelce,40,11119,
Sheryl Lee Ralph,64,10068,
Drew Holcomb & The Neighbors,58,168690,"acoustic pop, stomp and holler"
Stephen Wilson Jr.,60,134808,
Ally Brooke,46,454437,post-teen pop
Ethel Cain,69,766474,"countrygaze, indie pop, modern dream pop"
Young Dolph,73,3055281,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Trippie Redd,83,10066109,"melodic rap, rap, trap"
Brad Cohen,10,26,
lineup,29,148,
Dwayne Ladd,38,5,
Taylor Girlz,46,222600,trap queen
Stunnv,31,2572,
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Lucy Dacus,69,531972,"art pop, indie pop"
Becky G,79,15471749,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Warnes Gang,4,24,
2Pac,82,19878996,"g funk, gangster rap, hip hop, rap, west coast rap"
Taylor Swift,100,127838324,pop
John Carpenter,56,147409,horror synth
Jamie Fine,48,106736,
Mike Patton,45,175297,tzadik
Steve Harwell,21,1448,
Michael Milov,35,2422,russian trance
Taylor Swift,100,127838324,pop
Dre Hen,15,24,
Rachel Antonoff,6,55,
Norman Skies,12,120,
Bon Iver,78,3745446,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
JVKE,77,5092957,"modern indie pop, pov: indie, singer-songwriter pop"
A. G. Cook,60,170096,"bubblegum bass, escape room, hyperpop, proto-hyperpop"
Intro,36,33764,"contemporary r&b, new jack swing"
Shakira,88,35739060,"colombian pop, dance pop, latin pop, pop"
Nicki Minaj,87,32918702,"hip pop, pop, queens hip hop, rap"
Taylor Davis,50,197866,"bow pop, pop violin"
?uestlove,33,45728,philly rap
Belladonna,1,826,
Phil Collins,78,6340015,"rock drums, soft rock"
Persia,8,11693,
Kay Flock,63,1031700,"bronx drill, melodic drill, new york drill"
"Terry ""BIG T"" Williams",22,162,
Babe Ruth,33,21211,bboy
The Riverside,37,38323,
Malala Yousafzai,9,234,
Amber Liu,35,101637,
Kicked Off the Streets,5,2214,socal indie
