artist,popularity,followers,genres
Billy Joel,79,6483811,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
Legolas,0,19,
Mommy Long Legs,51,148147,riot grrrl
Angelon,0,0,
Dodge Beats,27,1,
Anna Takova-Baynova,47,1474,
Kesha,82,8354154,"dance pop, pop"
Risen,0,23,
Taylor Louderman,52,17285,"broadway, show tunes"
Gregg Bissonette,33,4759,deep jazz fusion
The Beyoncé Experience,2,1258,
Rob Moose,36,3414,bow pop
DJ Lyoff,2,0,
Tedeschi Trucks Band,53,445317,"blues rock, electric blues, jam band, modern blues, roots rock, southern rock"
Myke Towers,90,17615522,"reggaeton, trap latino, urbano latino"
Paul McCartney,77,4983473,"classic rock, mellow gold, rock, soft rock"
Rick Rubin,28,8362,
ROSÉ,88,8674192,k-pop
Respond,0,24,
John Austin Hughes & Art Evans,0,2,
Benji Mikel,27,2854,
"Jordan Baum, Michael McNamara, Nicholas Furlong & Travis Margis",7,839,
Belanova,71,1767710,"latin arena pop, latin pop, mexican pop"
Donald J. Trump,40,51763,
Jack Harlow,82,3996384,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap"
Lorde,78,10106142,"art pop, metropopolis, nz pop, pop"
Riley O'Baba Players,0,19,
DJ Clark Kent,6,808,
Halsey,83,21786345,"electropop, etherpop, indie poptimism, pop"
Capital Ent,31,428,
Courtney Barnett,53,599923,"art pop, australian indie, chamber pop, indie pop, indie rock, melbourne indie, noise pop, seattle indie, singer-songwriter, slacker rock"
Calm Myself Down,33,190,
Martin Garrix,77,15114481,"dutch edm, edm, pop, pop dance, progressive house"
Chino XL,2,1,
David Guetta - Nicki Minaj - Flo Rida,25,3044,
John Williams,78,1481272,"orchestral soundtrack, soundtrack"
Paul McCartney,77,4983473,"classic rock, mellow gold, rock, soft rock"
Hootenanny,0,18,
Hot Snakes,36,51451,"indie punk, post-hardcore"
Noel Gallagher's High Flying Birds,61,974998,britpop
Quincy Jones,62,399134,soul jazz
Ezra Collective,61,284763,"british jazz, indie soul"
Stephanie Hsu,37,3151,show tunes
Promoting Sounds,60,169372,"lo-fi chill, sad lo-fi"
Fine Lines,27,1006,
Massive Attack,69,2346800,"downtempo, electronica, trip hop"
