title,link,summary,category
Elon Musk Begs Taylor Swift to Post Her Music on Zombie Twitter,https://www.rollingstone.com/music/music-news/elon-musk-begs-taylor-swift-post-music-twitter-1234828833/,Owner of failing social media platform would like one of the biggest musicians on the planet to help it stay relevant,Wildest Dreams
Peso Pluma Cancels Tijuana Show Following Alleged Cartel Death Threats,https://www.rollingstone.com/music/music-news/peso-pluma-cancels-tijuana-show-narco-death-threats-1234828788/,"A man was arrested last week for allegedly placing ""narcomantas"" on behalf of the Cártel Jalisco Nueva Generación, threatening the singer were he to perform in the border town",Show Canceled
Ozzy Osbourne Says Next Spinal Surgery Will Be His Last: 'I'm Not Doing It Anymore. I Can't',https://www.rollingstone.com/music/music-news/ozzy-osbourne-final-spinal-surgery-the-osbournes-podcast-1234828751/,"Despite being done with surgeries, the singer assures fans: ""I'm far from being on my last leg""",Final Surgery
Stray Kids Pull Out of Global Citizen After 'Minor' Car Accident Injures Three Members,https://www.rollingstone.com/music/music-news/stray-kids-cancel-global-citizen-performance-minor-car-accident-1234828742/,"Lee Know, Hyunjin, and Seungmin suffer ""mild muscle pain and bruises,"" forcing them out of New York fest. However, offshoot 3RACHA will replace K-pop group on lineup",get well soon
See Florence Pugh Join Flyte for a Breakfast Nook Round of 'Tough Love',https://www.rollingstone.com/music/music-news/flyte-florence-pugh-tough-love-video-1234828722/,"Track will feature on Flyte's upcoming, self-titled album, though with Laura Marling on vocals",Trio
Swifties Swiftly Solve Puzzles to Uncover '1989' Vault Track Titles,https://www.rollingstone.com/music/music-news/taylor-swift-1989-taylors-version-vault-track-titles-1234828546/,Taylor Swift later shared the full track list and confirmed the re-record wouldn't include any features,Cracking the Code
"Jack Antonoff and Bleachers Rock, While a Tomato Rolls, in 'Modern Girl' Video",https://www.rollingstone.com/music/music-news/jack-antonoff-bleachers-new-song-modern-girl-1234828674/,The track marks the band's first new music since 2021,B Street Shuffle
Troye Sivan Goes From Sad Boi to 'Total Freedom' in 'Got Me Started' Video,https://www.rollingstone.com/music/music-news/troye-sivan-got-me-started-song-video-1234828534/,"Singer samples Bag Raiders' 2011 song ""Shooting Stars"" on the single",Still Feeling the Rush
Boygenius Ring in the Fall Season With Chilling 'Cool About It' Video,https://www.rollingstone.com/music/music-news/boygenius-cool-about-it-video-1234828530/,"In an unpublished quote from the supergroup'sRolling Stonecover story, Phoebe Bridgers explains the meaning of her verse",Method Acting
BTS Renew Contract with HYBE and BIGHIT Music,https://www.rollingstone.com/music/music-news/bts-renew-hybe-bighit-music-exclusive-contract-1234828545/,The exclusive agreements with BTS members will continue from 2025 onwards,BTS x HYBE
"Kane Brown Plans on Going Big With Phil Collins Sample, Sets 'In the Air' Tour Dates",https://www.rollingstone.com/music/music-news/kane-brown-tour-2024-1234828368/,"Country artist's ""I Can Feel It,"" which uses Collins' drumming, will come out this week",Can You Feel It?
Sufjan Stevens Reveals He's Relearning How to Walk After 'Very Scary' Autoimmune Disorder Diagnosis,https://www.rollingstone.com/music/music-news/sufjan-stevens-relearning-walk-autoimmune-disorder-diagnosis-1234828380/,"""It’s a slow process, but they say I will 'recover,' it just takes a lot of time, patience, and hard work,"" singer-songwriter says of bout with Guillian-Barre Syndrome",'I want to be well!'
Lana Del Rey Wishes Her Album 'Had Gone as Viral' as That Waffle House Video,https://www.rollingstone.com/music/music-news/lana-del-rey-waffle-house-album-viral-1234828374/,"""I woke up to, like, 10,000 texts the next morning — some from folks I had not heard from for 10 years,"" the singer-songwriter joked of her unexpected diner shift",Smothered and Covered
Adidas CEO Doesn't Think Kanye West 'Meant What He Said' With the Whole Antisemitism Thing,https://www.rollingstone.com/music/music-news/kanye-antisemitism-adidas-ceo-meant-what-he-said-1234828322/,"""I don’t think he’s a bad person. It just came across that way,"" Bjørn Gulden said on a recent podcast",Adi-d'oh!
"Jimmy Jam, Terry Lewis, Desmond Child To Meet With Congressmen to Push for Legislation on AI",https://www.rollingstone.com/music/music-news/jimmy-jam-terry-lewis-desmond-child-ai-1234828218/,ASCAP’s’ “Stand with Songwriters” advocacy day marks latest effort from the industry to rein in AI,AI and Music
The Breeders and J Mascis Deliver Consecrated Alt Rock on 'Divine Mascis',https://www.rollingstone.com/music/music-news/the-breeders-dinosaur-jr-j-mascis-divine-mascis-1234828160/,"The Dinosaur Jr. frontman's take on ""Divine Hammer"" will appear on theLast Splash30th anniversary reissue",One More Splash
Johnny Marr Previews New Compilation Album With Single 'Somewhere',https://www.rollingstone.com/music/music-news/johnny-marr-compilation-album-somewhere-single-1234828283/,The 16-track LP will highlight 10 years of Marr's solo career,Looking Back
Ed Sheeran Secretly Recorded a Live Version of New LP 'Autumn Variations' in Fans' Homes,https://www.rollingstone.com/music/music-news/ed-sheeran-autumn-variations-live-fans-homes-1234828271/,"The singer also shared a video of himself playing ""Wake Me Up"" in someone's bedroom",Come On In
Selena Gomez on Why She Will Never Watch Her Documentary Again,https://www.rollingstone.com/music/music-news/selena-gomez-mind-and-me-documentary-wont-watch-again-1234828261/,"Gomez discussedMy Mind and Me, a doc on her struggle with mental illness, during the Music & Health Conference on Tuesday",'I’m very proud of it'
‘NSync Recreate a Very ‘NSync Throwback Photo: ‘Who Had Us Pose Like That?!’,https://www.rollingstone.com/music/music-news/nsync-recreate-group-photo-1234828227/,"The new video was paired with Simple Plan's 2002 hit song ""I'm Just a Kid""",Classic
Matthew McCon-YeeHaw? Hear McConaughey Dedicate a Country Song to Texas,https://www.rollingstone.com/music/music-news/matthew-mcconaughey-texas-my-home-song-lawrence-wright-audiobook-1234827825/,"The actor croons on ""Texas My Home,"" written for Pulitzer Prize winner Lawrence Wright's audiobook,Mr. Texas",Exclusive
The Road to Beautiful: How DJ Duo Coco & Breezy Balance Finding Energy and Peace on Tour,https://www.rollingstone.com/music/music-news/the-road-to-beautiful-coco-and-breezy-1234812809/,"Stopping over in DTLA during a wild multi-city tour, the entrepreneurs and producers break down the best ways to unwind in the City of Angels",
"Black Music Action Coalition Slams Jann Wenner Comments, Book for 'Offensive and Absurd Erasure'",https://www.rollingstone.com/music/music-news/jann-wenner-criticized-offensive-absurd-erasure-book-1234827806/,"Living Colour guitarist Vernon Reid said theRolling Stonefounder's remarks diminishing Black and female artists were ""staggering, but not surprising""",'Persistent Bias'
Taylor Swift Sends Swifties Scrambling With '1989 (Taylor's Version)' Vault Teaser,https://www.rollingstone.com/music/music-news/taylor-swift-1989-taylors-version-trailer-vault-features-1234827763/,"Does the Easter egg clue in the clip spell ""Lust,"" or ""Slut,"" or some secret third other thing? Who knows",Lust or Slut?
50 Cent Is Back on the Drug Cartel Beat With New Season of 'Surviving El Chapo' Podcast,https://www.rollingstone.com/music/music-news/50-cent-surviving-el-chapo-podcast-season-two-trailer-1234827766/,Rapper and journalist Charlie Webster will continue to tell the story of drug smuggling twins who testified against Joaquin “El Chapo” Guzman,In Da Podcast Club
"Sum 41's Deryck Whibley Recovering After Hospitalization for Pneumonia, Possible Heart Failure",https://www.rollingstone.com/music/music-news/sum-41-deryck-whibley-hospitalized-pneumonia-heart-concerns-1234826917/,"On Sunday, the frontman's wife shared an update on his condition, writing: ""The pressure and strain on his heart and lungs has improved and he is able to breath without as much pain""",Healing at Home
"See Tom Morello, in Comic Book Form, Praise Dee Snider's 'Heroic' Free Speech Moment",https://www.rollingstone.com/music/music-news/tom-morello-dee-snider-graphic-novel-1234819988/,Graphic novelDee Snider: He's Not Gonna Take Itchronicles the day in 1985 that the Twisted Sister's frontman spoke out against record labeling at a Senate hearing,Exclusive
"Erykah Badu, Herbie Hancock Lead 2023 LA3C Festival Lineup",https://www.rollingstone.com/music/music-news/la3c-festival-lineup-herbie-hancock-erykah-badu-1234827692/,"Annual event fromRolling Stoneparent company Penske Media Corporation will also feature Kamasi Washington, Flying Lotus, Terrace Martin, and Sudan Archives",I Love L.A.
